brand,market,currency,observed_year,observed_product_role,n_observations,n_lineages,lineages,median_price,min_price,max_price,confidence,calculation_note
Dior,FR,EUR,2026,signature_core,2,2,DI-D02;DI-D03,3450.00,3250.00,3650.00,HIGH,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Dior,FR,EUR,2026,signature_icon,1,1,DI-D01,3650.00,3650.00,3650.00,HIGH,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Dior,US,USD,2019,signature_core,1,1,DI-D03,2700.00,2700.00,2700.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Dior,US,USD,2020,signature_core,1,1,DI-D03,2900.00,2900.00,2900.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Dior,US,USD,2022,signature_icon,1,1,DI-D01,4200.00,4200.00,4200.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Dior,US,USD,2023,signature_core,2,1,DI-D03,3400.00,3350.00,3450.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Dior,US,USD,2023,signature_icon,1,1,DI-D01,4400.00,4400.00,4400.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Dior,US,USD,2024,signature_core,2,2,DI-D02;DI-D03,3300.00,3250.00,3350.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Dior,US,USD,2026,signature_core,1,1,DI-D02,3900.00,3900.00,3900.00,HIGH,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Dior,US,USD,2026,signature_icon,1,1,DI-D01,4400.00,4400.00,4400.00,HIGH,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Hermès,FR,EUR,2022,core_upper_core,1,1,HM-H01,4550.00,4550.00,4550.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Hermès,FR,EUR,2023,core_upper_core,1,1,HM-H02,5500.00,5500.00,5500.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Hermès,FR,EUR,2024,core_upper_core,2,2,HM-H01;HM-H02,5425.00,4850.00,6000.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Hermès,FR,EUR,2026,core_upper_core,2,2,HM-H01;HM-H02,6075.00,5300.00,6850.00,HIGH,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Hermès,US,USD,2023,core_upper_core,1,1,HM-H01,5950.00,5950.00,5950.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Hermès,US,USD,2024,core_upper_core,1,1,HM-H01,6450.00,6450.00,6450.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Hermès,US,USD,2026,core_upper_core,2,2,HM-H01;HM-H02,8500.00,7650.00,9350.00,HIGH,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,FR,EUR,2021,accessible_core,2,2,LV-L03;LV-L04,1125.00,1100.00,1150.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,FR,EUR,2021,signature_access,1,1,LV-L01,1180.00,1180.00,1180.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,FR,EUR,2022,accessible_core,2,2,LV-L03;LV-L04,1420.00,1340.00,1500.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,FR,EUR,2022,core,1,1,LV-L02,1960.00,1960.00,1960.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,FR,EUR,2022,signature_access,1,1,LV-L01,1390.00,1390.00,1390.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,FR,EUR,2023,accessible_core,2,2,LV-L03;LV-L04,1450.00,1400.00,1500.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,FR,EUR,2023,core,1,1,LV-L02,2050.00,2050.00,2050.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,FR,EUR,2023,signature_access,1,1,LV-L01,1450.00,1450.00,1450.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,FR,EUR,2024,accessible_core,1,1,LV-L03,1550.00,1550.00,1550.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,FR,EUR,2024,signature_access,1,1,LV-L01,1550.00,1550.00,1550.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,FR,EUR,2026,accessible_core,1,1,LV-L03,2800.00,2800.00,2800.00,HIGH,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,FR,EUR,2026,core,1,1,LV-L02,2400.00,2400.00,2400.00,HIGH,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,FR,EUR,2026,signature_access,1,1,LV-L01,3200.00,3200.00,3200.00,HIGH,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,US,USD,2021,accessible_core,2,2,LV-L03;LV-L04,1510.00,1480.00,1540.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,US,USD,2021,signature_access,1,1,LV-L01,1650.00,1650.00,1650.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,US,USD,2022,accessible_core,2,2,LV-L03;LV-L04,1895.00,1760.00,2030.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,US,USD,2022,signature_access,1,1,LV-L01,1820.00,1820.00,1820.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,US,USD,2023,accessible_core,1,1,LV-L04,2030.00,2030.00,2030.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,US,USD,2024,accessible_core,1,1,LV-L03,1820.00,1820.00,1820.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,US,USD,2024,signature_access,1,1,LV-L01,1820.00,1820.00,1820.00,MEDIUM,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,US,USD,2026,accessible_core,2,2,LV-L03;LV-L04,2120.00,2000.00,2240.00,HIGH,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
Louis Vuitton,US,USD,2026,signature_access,1,1,LV-L01,4150.00,4150.00,4150.00,HIGH,Observed role medians; missing years are not interpolated and roles are not assumed to be equivalent across brands.
