module,scenario,market,metric,baseline,alternative,delta,stable,notes
M3,boundary_plus_minus10pct,FR,Louis Vuitton:Exceptional / icon:count,0,0;0;0;0;0;0;0;0,,TRUE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Louis Vuitton:High:count,0,0;0;0;0;0;0;0;0,,TRUE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Louis Vuitton:Premium core:count,0,0;0;0;0;0;0;0;0,,TRUE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Dior:Access / lower:count,0,0;7;0;0;0;0;0;0,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Dior:Core:count,19,19;12;18;19;19;19;19;19,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Dior:Exceptional / icon:count,0,0;0;0;0;0;0;0;0,,TRUE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Dior:High:count,0,0;0;0;0;0;0;0;0,,TRUE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,FR,Dior:Premium core:count,0,0;0;1;0;0;0;0;0,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Chanel:Access / lower:count,0,0;0;0;0;0;0;0;0,,TRUE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Chanel:Core:count,3,3;3;0;7;3;3;3;3,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Chanel:Exceptional / icon:count,7,7;7;7;7;7;7;7;1,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Chanel:High:count,0,0;0;0;0;2;0;0;6,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Chanel:Premium core:count,8,8;8;11;4;6;8;8;8,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Hermès:Access / lower:count,3,1;3;3;3;3;3;3;3,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Hermès:Core:count,11,13;11;3;11;11;11;11;11,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Hermès:Exceptional / icon:count,2,2;2;2;2;2;2;2;1,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Hermès:High:count,2,2;2;2;2;3;1;2;3,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Hermès:Premium core:count,2,2;2;10;2;1;3;2;2,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Louis Vuitton:Access / lower:count,19,19;20;19;19;19;19;19;19,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Louis Vuitton:Core:count,1,1;0;1;1;1;1;1;1,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Louis Vuitton:Exceptional / icon:count,0,0;0;0;0;0;0;0;0,,TRUE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Louis Vuitton:High:count,0,0;0;0;0;0;0;0;0,,TRUE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Louis Vuitton:Premium core:count,0,0;0;0;0;0;0;0;0,,TRUE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Dior:Access / lower:count,5,0;9;5;5;5;5;5;5,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Dior:Core:count,8,13;4;8;8;8;8;8;8,,FALSE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Dior:Exceptional / icon:count,0,0;0;0;0;0;0;0;0,,TRUE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Dior:High:count,0,0;0;0;0;0;0;0;0,,TRUE,"Boundaries are sensitivity scenarios, not independent validation."
M3,boundary_plus_minus10pct,US,Dior:Premium core:count,0,0;0;0;0;0;0;0;0,,TRUE,"Boundaries are sensitivity scenarios, not independent validation."
