cell_id,market,source_effective_date,comparison_group_id,bag_type,size_label,material_group,brands,brand_counts,brand_medians,regular_special_status,headline_eligible,pairing_status,price_comparison_status,gate_reason,limitation
CELL-US-shoulder-PM-textile,US,2026-09-07,US|shoulder|PM|textile,shoulder,PM,textile,Louis Vuitton,Louis Vuitton:1,Louis Vuitton:2700,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-shoulder-mini-leather,US,2026-09-07,US|shoulder|mini|leather,shoulder,mini,leather,Hermès,Hermès:1,Hermès:6500,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-shoulder-unknown-leather,US,2026-09-07,US|shoulder|unknown|leather,shoulder,unknown,leather,Hermès;Louis Vuitton,Hermès:1;Louis Vuitton:1,Hermès:8400;Louis Vuitton:2940,regular_special_not_disclosed,FALSE,blocked_unknown_size,not_computed,blocked_unknown_size,Unknown size cannot support like-for-like pairing.
CELL-US-shoulder-unknown-textile,US,2026-09-07,US|shoulder|unknown|textile,shoulder,unknown,textile,Louis Vuitton,Louis Vuitton:1,Louis Vuitton:2700,regular_special_not_disclosed,FALSE,blocked_unknown_size,not_computed,blocked_unknown_size,Unknown size cannot support like-for-like pairing.
CELL-US-small-leather-goods-small-textile,US,2026-09-07,US|small-leather-goods|small|textile,small-leather-goods,small,textile,Louis Vuitton,Louis Vuitton:4,Louis Vuitton:1670,regular_special_not_disclosed,FALSE,blocked_woc_sensitivity_only,not_computed,blocked_woc_sensitivity_only,WOC/small leather goods remain sensitivity-only.
CELL-US-top-handle-20-leather,US,2026-09-07,US|top-handle|20|leather,top-handle,20,leather,Louis Vuitton,Louis Vuitton:1,Louis Vuitton:2850,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-top-handle-20-textile,US,2026-09-07,US|top-handle|20|textile,top-handle,20,textile,Louis Vuitton,Louis Vuitton:1,Louis Vuitton:2330,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-top-handle-25-leather,US,2026-09-07,US|top-handle|25|leather,top-handle,25,leather,Hermès,Hermès:1,Hermès:8950,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-top-handle-BB-leather,US,2026-09-07,US|top-handle|BB|leather,top-handle,BB,leather,Louis Vuitton,Louis Vuitton:1,Louis Vuitton:2800,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-top-handle-BB-textile,US,2026-09-07,US|top-handle|BB|textile,top-handle,BB,textile,Louis Vuitton,Louis Vuitton:1,Louis Vuitton:2000,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-top-handle-unknown-leather,US,2026-09-07,US|top-handle|unknown|leather,top-handle,unknown,leather,Hermès,Hermès:2,Hermès:17400,regular_special_not_disclosed,FALSE,blocked_unknown_size,not_computed,blocked_unknown_size,Unknown size cannot support like-for-like pairing.
CELL-US-tote-35-leather,US,2026-09-07,US|tote|35|leather,tote,35,leather,Hermès,Hermès:1,Hermès:5850,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-tote-41-mixed_textile_leather,US,2026-09-07,US|tote|41|mixed_textile_leather,tote,41,mixed_textile_leather,Hermès,Hermès:3,Hermès:5450,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-tote-BB-leather,US,2026-09-07,US|tote|BB|leather,tote,BB,leather,Louis Vuitton,Louis Vuitton:1,Louis Vuitton:2900,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-tote-MM-leather,US,2026-09-07,US|tote|MM|leather,tote,MM,leather,Louis Vuitton,Louis Vuitton:1,Louis Vuitton:3200,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-tote-MM-textile,US,2026-09-07,US|tote|MM|textile,tote,MM,textile,Louis Vuitton,Louis Vuitton:1,Louis Vuitton:2240,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-tote-PM-textile,US,2026-09-07,US|tote|PM|textile,tote,PM,textile,Louis Vuitton,Louis Vuitton:1,Louis Vuitton:2940,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-tote-large-leather,US,2026-09-07,US|tote|large|leather,tote,large,leather,Chanel;Dior,Chanel:1;Dior:1,Chanel:6500;Dior:4700,regular_special_not_disclosed,FALSE,blocked_sample_insufficient,not_computed,blocked_sample_insufficient,Each brand needs at least 2 numeric rows in the cell.
CELL-US-tote-medium-leather,US,2026-09-07,US|tote|medium|leather,tote,medium,leather,Dior,Dior:5,Dior:4300,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-tote-medium-mixed_textile_leather,US,2026-09-07,US|tote|medium|mixed_textile_leather,tote,medium,mixed_textile_leather,Dior,Dior:1,Dior:3600,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-tote-small-leather,US,2026-09-07,US|tote|small|leather,tote,small,leather,Chanel;Dior,Chanel:2;Dior:5,Chanel:6600;Dior:4000,regular_special_not_disclosed,FALSE,blocked_seasonal_excluded,not_computed,blocked_seasonal_excluded,Explicit seasonal rows remain outside the regular-core headline.
CELL-US-tote-small-mixed_textile_leather,US,2026-09-07,US|tote|small|mixed_textile_leather,tote,small,mixed_textile_leather,Dior,Dior:2,Dior:3400,regular_special_not_disclosed,FALSE,blocked_no_chanel_subject,not_computed,blocked_no_chanel_subject,The R1 headline subject is Chanel; competitor-only cells remain contextual.
CELL-US-tote-unknown-leather,US,2026-09-07,US|tote|unknown|leather,tote,unknown,leather,Chanel,Chanel:1,Chanel:7300,regular_special_not_disclosed,FALSE,blocked_unknown_size,not_computed,blocked_unknown_size,Unknown size cannot support like-for-like pairing.
CELL-US-unknown-mini-leather,US,2026-09-07,US|unknown|mini|leather,unknown,mini,leather,Chanel,Chanel:1,Chanel:6300,regular_special_not_disclosed,FALSE,blocked_unknown_bag_type,not_computed,blocked_unknown_bag_type,Unknown bag type cannot support like-for-like pairing.
CELL-US-unknown-small-leather,US,2026-09-07,US|unknown|small|leather,unknown,small,leather,Chanel,Chanel:1,Chanel:6700,regular_special_not_disclosed,FALSE,blocked_unknown_bag_type,not_computed,blocked_unknown_bag_type,Unknown bag type cannot support like-for-like pairing.
CELL-US-unknown-small-unknown,US,2026-09-07,US|unknown|small|unknown,unknown,small,unknown,Chanel,Chanel:2,Chanel:7550,regular_special_not_disclosed,FALSE,blocked_unknown_bag_type,not_computed,blocked_unknown_bag_type,Unknown bag type cannot support like-for-like pairing.
