brand,market,currency,family,observations,numeric_observations,unique_references,devariant_groups,minimum_observed_price,p10_sample,p25_sample,p50_sample,p75_sample,p90_sample,maximum_observed_price,distribution_note
Louis Vuitton,US,USD,Liv,1,1,1,1,1950,1950,1950,1950,1950,1950,1950,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,US,USD,Madeleine,1,1,1,1,2170,2170,2170,2170,2170,2170,2170,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,US,USD,Marelle,1,1,1,1,2890,2890,2890,2890,2890,2890,2890,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,US,USD,Multipass,5,5,5,4,2230,2330,2480,2480,2480,2702,2850,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,US,USD,Neverfull,1,1,1,1,2240,2240,2240,2240,2240,2240,2240,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,US,USD,Speedy,2,2,2,2,3550,3610,3700,3850,4000,4090,4150,N<10: tails are descriptive only; unit is the accepted observed product row.
Louis Vuitton,US,USD,Squire,2,2,2,2,2470,2509,2567.50,2665,2762.50,2821,2860,N<10: tails are descriptive only; unit is the accepted observed product row.
Dior,FR,EUR,Dior Blooming,2,2,2,1,3100,3100,3100,3100,3100,3100,3100,N<10: tails are descriptive only; unit is the accepted observed product row.
Dior,FR,EUR,Dior Book Tote,3,3,3,3,3250,3320,3425,3600,3625,3640,3650,N<10: tails are descriptive only; unit is the accepted observed product row.
Dior,FR,EUR,Dior Bow,1,1,1,1,3700,3700,3700,3700,3700,3700,3700,N<10: tails are descriptive only; unit is the accepted observed product row.
Dior,FR,EUR,Dior Médaillon,3,3,3,3,3200,3250,3325,3450,3475,3490,3500,N<10: tails are descriptive only; unit is the accepted observed product row.
Dior,FR,EUR,Dior Promenade,4,4,4,3,3000,3120,3300,3400,3500,3680,3800,N<10: tails are descriptive only; unit is the accepted observed product row.
Dior,FR,EUR,Dior Toujours,4,3,4,3,3100,3120,3150,3200,3325,3400,3450,N<10: tails are descriptive only; unit is the accepted observed product row.
Dior,FR,EUR,Diorly,2,2,2,2,3850,3915,4012.50,4175,4337.50,4435,4500,N<10: tails are descriptive only; unit is the accepted observed product row.
Dior,FR,EUR,Saddle,1,1,1,1,3650,3650,3650,3650,3650,3650,3650,N<10: tails are descriptive only; unit is the accepted observed product row.
Dior,US,USD,Dior Blooming,2,2,2,1,3700,3700,3700,3700,3700,3700,3700,N<10: tails are descriptive only; unit is the accepted observed product row.
Dior,US,USD,Dior Book Tote,3,1,3,1,3900,3900,3900,3900,3900,3900,3900,N<10: tails are descriptive only; unit is the accepted observed product row.
Dior,US,USD,Dior Bow,1,1,1,1,4400,4400,4400,4400,4400,4400,4400,N<10: tails are descriptive only; unit is the accepted observed product row.
Dior,US,USD,Dior Médaillon,3,1,3,1,4000,4000,4000,4000,4000,4000,4000,N<10: tails are descriptive only; unit is the accepted observed product row.
Dior,US,USD,Dior Promenade,4,4,4,3,3600,3720,3900,4000,4125,4350,4500,N<10: tails are descriptive only; unit is the accepted observed product row.
Dior,US,USD,Dior Toujours,4,2,4,2,3900,3920,3950,4000,4050,4080,4100,N<10: tails are descriptive only; unit is the accepted observed product row.
Dior,US,USD,Diorly,2,1,2,1,5200,5200,5200,5200,5200,5200,5200,N<10: tails are descriptive only; unit is the accepted observed product row.
Dior,US,USD,Saddle,1,1,1,1,4400,4400,4400,4400,4400,4400,4400,N<10: tails are descriptive only; unit is the accepted observed product row.
